id,condition,probe,dc,ac,valence
0,Negative,1,6,1,-1
0,Negative,2,4,3,-1
0,Negative,3,3,3,0
0,Negative,4,4,5,0
1,Negative,1,5,1,-2
1,Negative,2,5,1,-2
1,Negative,3,1,5,1
1,Negative,4,4,5,2
2,Negative,1,1,6,-2
2,Negative,2,1,6,-2
2,Negative,3,1,6,1
2,Negative,4,1,1,2
3,Positive,1,6,1,2
3,Positive,2,6,1,2
3,Positive,3,1,6,0
3,Positive,4,1,6,0
4,Negative,1,5,1,-2
4,Negative,2,5,1,-1
4,Negative,3,4,4,-1
4,Negative,4,3,2,0
5,Positive,1,5,4,2
5,Positive,2,5,2,1
5,Positive,3,2,5,1
5,Positive,4,1,3,2
6,Positive,1,3,4,2
6,Positive,2,4,5,2
6,Positive,3,1,1,0
6,Positive,4,1,1,0
7,Positive,1,6,2,2
7,Positive,2,6,1,2
7,Positive,3,1,3,0
7,Positive,4,1,1,1
8,Positive,1,4,1,2
8,Positive,2,1,5,1
8,Positive,3,1,6,-1
8,Positive,4,3,1,1
9,Negative,1,4,2,-1
9,Negative,2,5,1,-1
9,Negative,3,1,1,0
9,Negative,4,1,1,0
10,Positive,1,5,3,2
10,Positive,2,5,5,2
10,Positive,3,2,5,2
10,Positive,4,3,1,0
11,Positive,1,6,1,1
11,Positive,2,6,1,0
11,Positive,3,2,3,-1
11,Positive,4,1,1,-1
12,Negative,1,2,3,-2
12,Negative,2,3,3,-2
12,Negative,3,4,3,2
12,Negative,4,4,3,2
13,Positive,1,6,1,2
13,Positive,2,5,1,2
13,Positive,3,4,1,0
13,Positive,4,5,1,1
14,Negative,1,2,6,-2
14,Negative,2,1,6,-2
14,Negative,3,2,2,0
14,Negative,4,1,2,0
15,Negative,1,6,1,1
15,Negative,2,1,4,0
15,Negative,3,6,1,0
15,Negative,4,3,1,1
16,Negative,1,6,6,-2
16,Negative,2,6,6,-2
16,Negative,3,1,1,0
16,Negative,4,1,1,0
17,Positive,1,6,1,2
17,Positive,2,6,1,2
17,Positive,3,1,5,1
17,Positive,4,1,6,1
18,Negative,1,6,1,-1
18,Negative,2,6,1,-1
18,Negative,3,6,1,-2
18,Negative,4,6,1,-2
19,Positive,1,6,1,1
19,Positive,2,4,1,1
19,Positive,3,1,1,1
19,Positive,4,1,3,1
20,Positive,1,3,5,2
20,Positive,2,3,6,2
20,Positive,3,1,6,0
20,Positive,4,1,1,0
21,Positive,1,4,5,2
21,Positive,2,6,4,2
21,Positive,3,3,5,1
21,Positive,4,6,5,0
22,Positive,1,1,6,2
22,Positive,2,1,6,2
22,Positive,3,1,1,2
22,Positive,4,1,1,2
23,Positive,1,6,1,2
23,Positive,2,4,2,2
23,Positive,3,4,2,2
23,Positive,4,1,3,0
24,Positive,1,6,1,2
24,Positive,2,6,3,2
24,Positive,3,6,2,2
24,Positive,4,2,2,1
25,Negative,1,6,6,-2
25,Negative,2,6,6,-2
25,Negative,3,6,6,-2
25,Negative,4,5,6,-1
26,Negative,1,5,3,-2
26,Negative,2,6,2,-2
26,Negative,3,2,3,-1
26,Negative,4,1,2,-1
27,Positive,1,6,1,2
27,Positive,2,6,1,2
27,Positive,3,6,1,2
27,Positive,4,3,1,0
28,Negative,1,1,4,-2
28,Negative,2,5,1,-2
28,Negative,3,1,1,0
28,Negative,4,1,1,1
29,Negative,1,1,6,-2
29,Negative,2,4,4,-2
29,Negative,3,1,5,-2
29,Negative,4,1,3,0
30,Negative,1,3,6,-2
30,Negative,2,1,6,-2
30,Negative,3,2,4,-2
30,Negative,4,2,5,-2
31,Negative,1,5,2,-2
31,Negative,2,5,4,-2
31,Negative,3,5,2,-2
31,Negative,4,5,5,0
32,Negative,1,6,1,-1
32,Negative,2,6,6,-2
32,Negative,3,1,2,0
32,Negative,4,1,1,0
33,Positive,1,4,2,2
33,Positive,2,5,2,2
33,Positive,3,1,2,0
33,Positive,4,1,2,0
34,Negative,1,1,2,0
34,Negative,2,2,1,1
34,Negative,3,1,1,2
34,Negative,4,1,2,2
35,Positive,1,3,1,1
35,Positive,2,4,1,1
35,Positive,3,2,1,0
35,Positive,4,3,1,1
36,Negative,1,6,1,-1
36,Negative,2,6,1,-2
36,Negative,3,6,1,0
36,Negative,4,6,1,0
37,Positive,1,4,3,2
37,Positive,2,5,4,2
37,Positive,3,5,3,1
37,Positive,4,5,3,1
38,Positive,1,6,1,2
38,Positive,2,6,1,2
38,Positive,3,6,1,2
38,Positive,4,5,1,2
39,Positive,1,5,1,2
39,Positive,2,6,1,2
39,Positive,3,6,1,2
39,Positive,4,6,1,2
40,Positive,1,6,1,2
40,Positive,2,6,1,2
40,Positive,3,5,2,2
40,Positive,4,3,2,2
41,Negative,1,6,1,-2
41,Negative,2,6,1,-2
41,Negative,3,1,1,0
41,Negative,4,1,1,0
42,Positive,1,5,5,2
42,Positive,2,5,5,2
42,Positive,3,2,2,0
42,Positive,4,2,2,0
43,Negative,1,3,1,-2
43,Negative,2,5,1,-2
43,Negative,3,1,1,0
43,Negative,4,1,1,0
44,Positive,1,5,3,2
44,Positive,2,3,3,2
44,Positive,3,2,2,1
44,Positive,4,2,3,1
45,Negative,1,6,1,-1
45,Negative,2,6,1,-2
45,Negative,3,6,3,-1
45,Negative,4,3,1,0
46,Negative,1,6,1,-2
46,Negative,2,6,1,-2
46,Negative,3,1,6,-2
46,Negative,4,1,6,-2
47,Negative,1,5,1,-2
47,Negative,2,6,1,-2
47,Negative,3,1,3,1
47,Negative,4,1,3,1
48,Negative,1,5,3,-1
48,Negative,2,4,5,-2
48,Negative,3,4,5,-2
48,Negative,4,2,3,-1
49,Negative,1,6,1,-2
49,Negative,2,6,1,-2
49,Negative,3,6,1,-2
49,Negative,4,2,1,0
50,Positive,1,6,1,2
50,Positive,2,4,1,1
50,Positive,3,1,1,0
50,Positive,4,1,1,0
51,Negative,1,1,6,-2
51,Negative,2,1,6,-2
51,Negative,3,1,1,0
51,Negative,4,1,3,-1
52,Positive,1,4,3,2
52,Positive,2,4,4,2
52,Positive,3,2,3,0
52,Positive,4,1,2,0
53,Negative,1,6,1,-2
53,Negative,2,6,1,-2
53,Negative,3,1,6,-1
53,Negative,4,5,2,-1
54,Positive,1,5,2,2
54,Positive,2,6,3,2
54,Positive,3,2,2,2
54,Positive,4,1,1,0
55,Positive,1,6,4,2
55,Positive,2,6,5,2
55,Positive,3,1,1,2
55,Positive,4,1,1,0
56,Negative,1,2,6,-2
56,Negative,2,1,5,-2
56,Negative,3,1,5,-1
56,Negative,4,3,3,0
57,Positive,1,6,1,2
57,Positive,2,6,1,2
57,Positive,3,1,1,2
57,Positive,4,1,1,1
58,Positive,1,6,6,2
58,Positive,2,6,5,2
58,Positive,3,1,2,2
58,Positive,4,1,3,1
59,Negative,1,6,6,-2
59,Negative,2,6,6,-2
59,Negative,3,6,6,-2
59,Negative,4,6,6,-2
60,Positive,1,1,2,2
60,Positive,2,4,2,2
60,Positive,3,5,1,1
60,Positive,4,6,1,0
61,Negative,1,1,1,-2
61,Negative,2,2,1,-2
61,Negative,3,2,1,-2
61,Negative,4,3,3,-2
62,Positive,1,3,6,2
62,Positive,2,1,6,2
62,Positive,3,2,2,0
62,Positive,4,2,4,-1
63,Negative,1,6,1,-2
63,Negative,2,6,1,-2
63,Negative,3,6,1,-2
63,Negative,4,1,1,0
64,Negative,1,5,5,-2
64,Negative,2,5,5,-2
64,Negative,3,2,2,2
64,Negative,4,2,4,1
65,Positive,1,6,6,2
65,Positive,2,6,3,1
65,Positive,3,2,6,-1
65,Positive,4,2,6,-1
66,Negative,1,5,6,-2
66,Negative,2,5,3,-1
66,Negative,3,4,3,0
66,Negative,4,4,1,0
67,Positive,1,6,6,2
67,Positive,2,6,6,2
67,Positive,3,6,6,2
67,Positive,4,6,5,2
68,Negative,1,6,1,-2
68,Negative,2,6,2,-2
68,Negative,3,1,1,0
68,Negative,4,6,1,-2
69,Positive,1,4,1,1
69,Positive,2,5,1,0
69,Positive,3,2,3,-1
69,Positive,4,5,3,0
70,Negative,1,6,1,-2
70,Negative,2,6,1,-2
70,Negative,3,2,3,-2
70,Negative,4,1,4,-2
71,Negative,1,3,6,-2
71,Negative,2,3,6,-2
71,Negative,3,1,6,-1
71,Negative,4,1,2,-2
72,Positive,1,5,1,2
72,Positive,2,5,3,1
72,Positive,3,2,1,1
72,Positive,4,3,1,1
73,Positive,1,6,1,2
73,Positive,2,6,1,2
73,Positive,3,2,1,1
73,Positive,4,1,1,0
74,Positive,1,6,1,2
74,Positive,2,6,1,2
74,Positive,3,5,3,0
74,Positive,4,6,4,0
75,Negative,1,6,6,-2
75,Negative,2,6,6,-2
75,Negative,3,1,1,2
75,Negative,4,1,1,2
76,Negative,1,4,5,-2
76,Negative,2,4,4,-2
76,Negative,3,2,2,0
76,Negative,4,2,2,-1
77,Negative,1,4,6,-2
77,Negative,2,5,3,-1
77,Negative,3,5,5,-1
77,Negative,4,3,4,-2
78,Positive,1,1,5,2
78,Positive,2,1,5,2
78,Positive,3,1,1,0
78,Positive,4,5,1,2
79,Positive,1,5,2,2
79,Positive,2,6,3,2
79,Positive,3,2,4,0
79,Positive,4,5,4,0
80,Negative,1,6,6,-2
80,Negative,2,6,6,-2
80,Negative,3,2,2,0
80,Negative,4,2,2,0
81,Positive,1,5,1,2
81,Positive,2,6,1,2
81,Positive,3,1,1,0
81,Positive,4,1,1,0
82,Negative,1,6,1,-1
82,Negative,2,6,1,-1
82,Negative,3,2,2,0
82,Negative,4,4,2,0
83,Negative,1,5,1,-1
83,Negative,2,6,1,-1
83,Negative,3,3,1,1
83,Negative,4,4,1,1
84,Positive,1,1,6,2
84,Positive,2,1,4,2
84,Positive,3,1,1,0
84,Positive,4,1,1,1
85,Positive,1,6,1,2
85,Positive,2,6,1,1
85,Positive,3,5,1,1
85,Positive,4,5,1,1
86,Positive,1,4,3,2
86,Positive,2,4,3,2
86,Positive,3,3,2,2
86,Positive,4,3,3,2
87,Negative,1,5,2,-1
87,Negative,2,4,2,-1
87,Negative,3,5,2,0
87,Negative,4,4,2,0
88,Negative,1,6,1,-2
88,Negative,2,5,2,-1
88,Negative,3,1,1,-1
88,Negative,4,1,1,-1
89,Positive,1,4,2,1
89,Positive,2,3,2,1
89,Positive,3,1,1,0
89,Positive,4,1,1,0
90,Negative,1,6,1,-2
90,Negative,2,6,1,-2
90,Negative,3,1,6,1
90,Negative,4,2,6,1
91,Positive,1,3,1,2
91,Positive,2,3,2,2
91,Positive,3,2,2,1
91,Positive,4,2,2,0
92,Negative,1,6,1,-2
92,Negative,2,6,1,-2
92,Negative,3,1,1,0
92,Negative,4,1,1,0
93,Positive,1,4,5,2
93,Positive,2,3,4,2
93,Positive,3,1,1,0
93,Positive,4,1,2,0
94,Negative,1,6,1,-2
94,Negative,2,6,1,-2
94,Negative,3,1,1,0
94,Negative,4,1,1,0
95,Positive,1,5,1,2
95,Positive,2,4,1,2
95,Positive,3,1,6,0
95,Positive,4,3,4,0
96,Positive,1,4,4,2
96,Positive,2,4,2,-1
96,Positive,3,3,4,-1
96,Positive,4,4,4,0
97,Positive,1,6,6,2
97,Positive,2,6,6,2
97,Positive,3,1,1,0
97,Positive,4,1,6,0
98,Positive,1,2,5,1
98,Positive,2,5,2,2
98,Positive,3,3,5,0
98,Positive,4,1,1,1
99,Positive,1,2,5,2
99,Positive,2,3,5,2
99,Positive,3,6,2,2
99,Positive,4,6,2,1
100,Positive,1,3,2,1
100,Positive,2,4,3,1
100,Positive,3,2,2,0
100,Positive,4,2,2,0
101,Positive,1,3,3,2
101,Positive,2,6,6,0
101,Positive,3,2,6,-2
101,Positive,4,1,6,-1
102,Positive,1,6,2,2
102,Positive,2,3,2,1
102,Positive,3,1,1,2
102,Positive,4,2,2,1
103,Negative,1,1,6,-2
103,Negative,2,6,1,0
103,Negative,3,1,1,0
103,Negative,4,1,1,0
104,Negative,1,1,6,-2
104,Negative,2,1,6,-2
104,Negative,3,2,2,0
104,Negative,4,2,2,0
105,Positive,1,2,1,2
105,Positive,2,1,2,0
105,Positive,3,1,1,2
105,Positive,4,1,5,2
106,Positive,1,5,6,2
106,Positive,2,5,6,2
106,Positive,3,2,1,0
106,Positive,4,1,1,0
107,Positive,1,6,6,2
107,Positive,2,4,4,2
107,Positive,3,2,1,0
107,Positive,4,1,2,0
108,Negative,1,5,5,-2
108,Negative,2,4,5,-2
108,Negative,3,5,5,-2
108,Negative,4,4,4,-1
109,Negative,1,2,5,-2
109,Negative,2,4,6,-2
109,Negative,3,6,6,-2
109,Negative,4,3,4,0
110,Negative,1,1,4,-2
110,Negative,2,1,5,-2
110,Negative,3,1,2,-1
110,Negative,4,2,3,0
111,Negative,1,6,1,-1
111,Negative,2,6,3,-2
111,Negative,3,6,1,0
111,Negative,4,4,2,0
112,Positive,1,4,2,2
112,Positive,2,5,1,2
112,Positive,3,4,3,1
112,Positive,4,3,4,1
113,Positive,1,4,1,2
113,Positive,2,3,2,2
113,Positive,3,2,1,1
113,Positive,4,3,1,1
114,Negative,1,5,4,-2
114,Negative,2,5,3,-2
114,Negative,3,3,1,0
114,Negative,4,3,1,0
115,Negative,1,5,2,-2
115,Negative,2,6,1,-2
115,Negative,3,6,1,-2
115,Negative,4,1,1,0
116,Positive,1,3,2,2
116,Positive,2,4,2,2
116,Positive,3,2,5,-2
116,Positive,4,3,4,-1
117,Negative,1,1,6,-2
117,Negative,2,1,6,-2
117,Negative,3,1,3,-2
117,Negative,4,1,3,0
118,Positive,1,6,1,2
118,Positive,2,6,1,2
118,Positive,3,1,6,2
118,Positive,4,1,6,2
119,Positive,1,5,1,2
119,Positive,2,6,1,2
119,Positive,3,6,6,0
119,Positive,4,6,6,1
120,Positive,1,1,1,2
120,Positive,2,4,1,2
120,Positive,3,6,1,2
120,Positive,4,1,6,1
121,Negative,1,6,1,-2
121,Negative,2,6,1,-2
121,Negative,3,1,4,1
121,Negative,4,2,1,1
122,Negative,1,6,2,-1
122,Negative,2,4,3,-1
122,Negative,3,2,6,0
122,Negative,4,1,1,0
123,Negative,1,6,1,-2
123,Negative,2,4,2,-2
123,Negative,3,1,1,0
123,Negative,4,1,1,0
124,Negative,1,6,1,-2
124,Negative,2,6,1,-2
124,Negative,3,1,6,0
124,Negative,4,1,6,-1
125,Negative,1,6,1,-2
125,Negative,2,5,1,-2
125,Negative,3,4,2,-1
125,Negative,4,1,1,0
126,Negative,1,6,1,-2
126,Negative,2,1,1,-2
126,Negative,3,2,5,-2
126,Negative,4,2,5,-1
127,Positive,1,4,3,2
127,Positive,2,5,4,2
127,Positive,3,2,4,1
127,Positive,4,2,5,0
128,Negative,1,3,2,-2
128,Negative,2,5,4,-2
128,Negative,3,5,5,2
128,Negative,4,5,1,2
129,Negative,1,6,1,-2
129,Negative,2,6,1,-1
129,Negative,3,3,4,0
129,Negative,4,1,1,0
130,Negative,1,6,2,-1
130,Negative,2,6,1,-1
130,Negative,3,3,3,0
130,Negative,4,4,3,0
131,Negative,1,2,6,-2
131,Negative,2,5,1,-1
131,Negative,3,1,1,-1
131,Negative,4,1,1,0
132,Negative,1,6,6,-2
132,Negative,2,6,6,-2
132,Negative,3,1,1,0
132,Negative,4,1,1,0
133,Positive,1,4,4,2
133,Positive,2,5,3,2
133,Positive,3,5,6,2
133,Positive,4,6,4,2
134,Positive,1,6,1,2
134,Positive,2,6,2,2
134,Positive,3,1,2,1
134,Positive,4,2,2,1
135,Negative,1,6,1,-1
135,Negative,2,6,1,-1
135,Negative,3,1,4,0
135,Negative,4,1,3,0
136,Positive,1,6,1,2
136,Positive,2,5,2,2
136,Positive,3,3,5,1
136,Positive,4,1,6,2
137,Positive,1,6,1,2
137,Positive,2,6,1,2
137,Positive,3,1,1,2
137,Positive,4,1,1,2
138,Positive,1,4,5,2
138,Positive,2,5,2,1
138,Positive,3,1,1,0
138,Positive,4,2,2,0
139,Negative,1,6,1,-1
139,Negative,2,6,4,-1
139,Negative,3,3,1,-1
139,Negative,4,1,2,-1
140,Positive,1,3,4,2
140,Positive,2,4,3,2
140,Positive,3,3,3,0
140,Positive,4,2,3,0
141,Positive,1,6,4,2
141,Positive,2,5,1,2
141,Positive,3,6,5,0
141,Positive,4,2,5,0
142,Negative,1,6,1,-2
142,Negative,2,1,1,0
142,Negative,3,6,6,-1
142,Negative,4,6,6,1
143,Negative,1,6,1,-2
143,Negative,2,5,1,-2
143,Negative,3,2,2,0
143,Negative,4,1,1,0
144,Negative,1,5,2,-2
144,Negative,2,4,2,-2
144,Negative,3,3,4,1
144,Negative,4,2,2,1
145,Positive,1,5,1,1
145,Positive,2,4,3,1
145,Positive,3,2,5,1
145,Positive,4,3,5,-1
146,Negative,1,6,1,-2
146,Negative,2,6,1,-2
146,Negative,3,1,4,-2
146,Negative,4,1,6,-2
147,Negative,1,1,1,0
147,Negative,2,6,6,-2
147,Negative,3,1,1,1
147,Negative,4,5,1,2
148,Negative,1,6,1,-2
148,Negative,2,6,1,-2
148,Negative,3,3,4,2
148,Negative,4,4,3,2
149,Negative,1,1,1,-1
149,Negative,2,2,1,-1
149,Negative,3,1,1,-1
149,Negative,4,3,1,2
150,Negative,1,2,5,-2
150,Negative,2,2,5,-2
150,Negative,3,4,2,1
150,Negative,4,2,2,2
151,Negative,1,5,5,-1
151,Negative,2,4,2,-2
151,Negative,3,1,2,0
151,Negative,4,5,3,1
152,Positive,1,2,5,2
152,Positive,2,1,4,2
152,Positive,3,2,2,1
152,Positive,4,1,1,-1
153,Positive,1,4,2,2
153,Positive,2,5,2,2
153,Positive,3,4,2,2
153,Positive,4,4,2,2
154,Positive,1,5,1,0
154,Positive,2,6,1,1
154,Positive,3,4,3,0
154,Positive,4,4,2,0
155,Negative,1,6,1,-2
155,Negative,2,4,1,-1
155,Negative,3,1,1,0
155,Negative,4,1,1,1
156,Positive,1,6,1,2
156,Positive,2,5,2,2
156,Positive,3,4,2,0
156,Positive,4,2,1,1
157,Positive,1,1,6,0
157,Positive,2,3,5,0
157,Positive,3,2,6,1
157,Positive,4,2,6,2
158,Positive,1,1,6,2
158,Positive,2,1,6,2
158,Positive,3,1,6,2
158,Positive,4,1,6,2
159,Negative,1,2,5,-1
159,Negative,2,2,4,0
159,Negative,3,1,1,1
159,Negative,4,1,1,0
160,Negative,1,6,6,-2
160,Negative,2,6,6,-2
160,Negative,3,1,1,0
160,Negative,4,1,1,0
161,Positive,1,6,1,-2
161,Positive,2,6,1,0
161,Positive,3,3,1,0
161,Positive,4,4,1,0
162,Positive,1,6,1,2
162,Positive,2,6,1,1
162,Positive,3,2,1,1
162,Positive,4,2,2,1
163,Positive,1,6,1,2
163,Positive,2,5,1,2
163,Positive,3,1,2,1
163,Positive,4,1,1,1
164,Negative,1,6,1,-2
164,Negative,2,6,1,-2
164,Negative,3,1,6,-1
164,Negative,4,4,1,1
165,Positive,1,6,1,2
165,Positive,2,6,5,2
165,Positive,3,3,1,-1
165,Positive,4,6,2,-1
166,Negative,1,5,4,-1
166,Negative,2,6,3,1
166,Negative,3,1,2,1
166,Negative,4,1,2,0
167,Positive,1,6,1,2
167,Positive,2,6,1,2
167,Positive,3,1,1,0
167,Positive,4,1,6,0
168,Negative,1,5,1,-2
168,Negative,2,5,1,-2
168,Negative,3,1,6,-2
168,Negative,4,1,5,0
169,Positive,1,6,1,2
169,Positive,2,4,1,1
169,Positive,3,6,1,1
169,Positive,4,4,1,1
170,Negative,1,6,1,0
170,Negative,2,6,1,-1
170,Negative,3,6,1,-1
170,Negative,4,1,1,-1
171,Negative,1,3,6,-2
171,Negative,2,3,6,-2
171,Negative,3,2,1,0
171,Negative,4,2,1,0
172,Negative,1,6,1,-1
172,Negative,2,6,1,-1
172,Negative,3,1,6,-1
172,Negative,4,3,3,0